ITEM;IDTIPOFT2;IDFAMILIA;ESTADOFT_DETEC;TEXTOESTADOFT_DETEC;STATUSFT;TEXTOSTATUSFT;IDCLIENTE;REFERENCIA;CODIGOREFERENCIA;TIPOABNT;EXIGELAUDO;GRAMATURA;COLUNAMINIMO;COBBINTMAXIMO;COMPRESSAO;COMPOSICAO;LARGURA;REFILOLARGURA;COMPRIMENTO;REFILOCOMPRIMENTO;MULTLARG;MULTCOMP;ARRANJO;REFUGOCLIENTE;VINCOLARG1;VINCOLARG2;VINCOLARG3;VINCOCOMP1;VINCOCOMP2;VINCOCOMP3;VINCOCOMP4;VINCOCOMP5;LAP;PROLONGLAP;LAPNOCOMP;LAPINTERNO;REFILADO;RESINAINTERNA;AMARRADO;PALETIZADO;PACOTESLARGURA;PACOTESCOMPRIMENTO;PACOTESALTURA;PECASPORPACOTE;PECASPORPALETE;PACOTESPORPALETE;UNIDADESPORPALETE;ESPELHO;FILME;FACA;COR1;CONSUMOCOR1;COR2;CONSUMOCOR2;COR3;CONSUMOCOR3;COR4;CONSUMOCOR4;NRCORES;LARGURAINTERNA;COMPRIMENTOINTERNO;ALTURAINTERNA;LARGPECA;COMPPECA;COMPPACOTE;LARGPACOTE;ALTURAPACOTE;COMMPALETEFECHADO;LARGPALETEFECHADO;ALTURAPALETEFECHADO;PESOCAIXA;PATHFIGURADOLASTRO;IDPALETE;AREABRUTAPECACOMREFILOS;AREABRUTAPECA;AREALIQUIDAPECA;AREABRUTACHAPA;AREALIQUIDACHAPA;VOLUMEPALETEFECHADOM3;VOLUMEPACOTEFECHADOM3
821230;;2.0;0;Amostra;3;Suspensa (Vendas) Amostra (DETEC);13472;77682 - V02;;16;1;406.0;4.5;25.0;;K2-B;716;15;488;10;1;1;1;2.3;;;;;;;;;0;0;-1;-1;1;0;1;1;2.0;2.0;8.0;50.0;1600.0;32.0;1600.0;1;1;Fazer;;;VIOLETA 261;;;;;;1;377.0;463.0;51.0;701.0;478.0;701.0;478.0;150.0;1200.0;1200.0;1370.0;127.0;2x2(maça).bmp;238.0;0.349408;0.335078;0.32737120599999997;0.349408;0.335078;1.9728;0.050262
593620;;;4;Desativada;4;Desativada (Faca) Desativada (DETEC);10322;ALT1 - Ovinos;;16;1;490.0;6.0;;;A9S-B;1159;15;1322;10;1;2;2;9.2;;;;;;;;;0;0;-1;-1;1;0;1;1;1.0;1.0;25.0;25.0;625.0;25.0;625.0;1;1;2546;;;;;VERMELHO 201;;PRETO;;2;394.0;582.0;130.0;1144.0;656.0;1144.0;656.0;75.0;1144.0;800.0;2025.0;340.0;11.bmp;7.0;0.766099;0.750464;0.681421312;1.532198;1.500928;1.85328;0.056285
738731;;21.0;1;Desenvolvimento;3;Suspensa (Vendas) Desenvolvimento (DETEC);12845;CAT 2 Fundo;;MCNf;0;;;;;A15S-C;421;0;1624;0;1;1;1;1.2242139873395506;264.0;157.0;;30.0;314.0;484.0;314.0;482.0;30;0;0;1;1;0;1;1;2.0;2.0;6.0;25.0;600.0;24.0;600.0;1;1;;;;;;;;;;0;310.0;480.0;260.0;421.0;1624.0;798.0;421.0;206.0;1220.0;1220.0;1362.0;;2x2(maça).bmp;238.0;0.683704;0.683704;0.675334;0.683704;0.683704;2.027201;0.069207
665450;;0.0;1;Desenvolvimento;3;Suspensa (Vendas) Desenvolvimento (DETEC);1290;6 Misturinha;;CN;0;421.0;4.5;;;B1S-B;230;0;919;0;1;1;1;2.0;72.0;86.0;72.0;30.0;143.0;303.0;143.0;300.0;30;0;0;1;1;0;1;1;5.0;2.0;8.0;25.0;2000.0;80.0;2000.0;1;1;;AZUL CS 351;;;;;;;;1;140.0;300.0;80.0;230.0;919.0;446.0;230.0;145.0;1200.0;800.0;1310.0;87.0;42.bmp;9.0;0.21137;0.21137;0.2071426;0.21137;0.21137;1.2576;0.014874
806540;;46.0;0;Amostra;3;Suspensa (Vendas) Amostra (DETEC);1442;32 - Aces. acoplado;32;124;1;446.0;6.0;40.0;;A3-B;471;0;1099;0;1;1;1;4.87;108.0;131.0;106.0;30.0;215.0;321.0;215.0;318.0;30;0;0;1;1;0;1;1;;;8.0;25.0;;;;1;1;FAZER;;;;;;;;;0;212.0;318.0;125.0;471.0;1099.0;536.0;471.0;150.0;;;1350.0;220.0;;24.0;0.517629;0.517629;0.49242046770000003;0.517629;0.517629;;0.037868
222970;;;4;Desativada;4;Desativada (Faca) Desativada (DETEC);1313;180-S - 277150 | V-6;277150;16;1;;;12.0;;A6S-B;802;10;1572;10;1;2;2;2.42;;;;;;;;;0;0;-1;-1;1;1;1;1;2.0;1.0;22.0;25.0;1100.0;44.0;1100.0;1;1;0430;PRETO;;;;;;;;1;375.0;590.0;96.0;792.0;781.0;;;;1562.0;800.0;1717.0;280.0;;13.0;0.630372;0.618552;0.6035830416;1.260744;1.237104;2.145563;
791900;;19.0;2;Ativa;4;Desativada (Faca) Desativada (Clichê) Suspensa (Vendas) Ativa (DETEC);5478;38 x 48 Média Ninus - Tarja Azul;;CN;0;;4.5;;;A1-B;394;0;1109;0;1;1;1;5.0;134.0;126.0;134.0;30.0;268.0;273.0;268.0;270.0;30;0;0;1;1;0;1;1;2.0;3.0;8.0;25.0;1200.0;48.0;1200.0;1;1;7479;;;AZUL 261;625.0;;;;;1;265.0;270.0;120.0;394.0;1109.0;541.0;394.0;142.0;1200.0;1082.0;1290.0;;23.bmp;24.0;0.436946;0.436946;0.4150987;0.436946;0.436946;1.674936;0.030268
727400;;74.0;0;Amostra;3;Suspensa (Vendas) Amostra (DETEC);12685;eBOX 51;;20;1;;;;;A4S-D;921;15;989;10;1;1;1;13.3;;;;;;;;;0;0;-1;-1;1;0;1;0;;;;25.0;;;;0;0;FAZER;;;;;;;;;0;354.0;520.0;86.0;906.0;979.0;979.0;906.0;72.0;;;;;;37.0;0.910869;0.886974;0.769006458;0.910869;0.886974;;0.063862
374562;;;4;Desativada;4;Desativada (DETEC);1756;ACESSORIO AGUA SANITARIA;;40;0;446.0;4.5;;;A4-B;285;0;1068;0;1;3;3;0.0;;;;;;;;;0;0;-1;-1;1;0;1;1;3.0;4.0;8.0;50.0;4800.0;96.0;4800.0;0;1;;;;;;;;;;0;236.0;360.0;285.0;285.0;356.0;;;;1200.0;1068.0;1350.0;;;24.0;0.10146;0.10146;0.10146;0.30438;0.30438;1.73016;
510360;;46.0;0;Amostra;3;Suspensa (Vendas) Amostra (DETEC);1163;Bombom - 2 x 3 x 5 - Onda Dupla;;CN;1;715.0;7.5;;;A2-BC;622;0;1455;0;1;1;1;2.0;164.0;294.0;164.0;30.0;325.0;389.0;325.0;386.0;30;50;0;1;1;0;1;0;1.0;1.0;1.0;25.0;25.0;1.0;25.0;0;0;;;;;;;;;;0;318.0;382.0;280.0;622.0;1455.0;;;;;;;751.0;;62.0;0.90501;0.90501;0.8869098;0.90501;0.90501;;
817660;;16.0;1;Desenvolvimento;3;Suspensa (Vendas) Desenvolvimento (DETEC);5927;Tampo 15kg - A3-B;;16;1;446.0;5.0;30.0;;A3-B;1132;15;1912;10;1;3;3;7.5;;;;;;;;;0;0;-1;-1;1;0;1;1;1.0;2.0;16.0;25.0;800.0;32.0;800.0;1;1;6103;;;;;;;;;0;375.0;562.0;130.0;1117.0;634.0;1117.0;634.0;75.0;1268.0;1200.0;1350.0;292.0;12.bmp;42.0;0.7214613333333334;0.7081780000000001;0.6550646500000001;2.164384;2.124534;2.05416;0.053113
471171;;7.0;0;Amostra;3;Suspensa (Vendas) Amostra (DETEC);5269;CARNE BOVINA 25 KG (FUNDO 150);;17;0;;;15.0;;A12S-C;1036;20;1770;20;1;2;2;6.1;;;;;;;;;0;0;-1;-1;1;1;1;0;1.0;2.0;11.0;25.0;550.0;22.0;550.0;0;0;FAZER;;;;;;;;;0;368.0;575.0;150.0;1016.0;875.0;;;;;;;;;18.0;0.91686;0.889;0.834771;1.83372;1.778;;
475470;;1.0;1;Desenvolvimento;3;Suspensa (Vendas) Desenvolvimento (DETEC);1862;Nº 4 Ovos Cong. M. Inteiro;4;CN;1;640.0;7.0;12.0;;A15S-C;579;0;1224;0;1;1;1;2.0;150.0;279.0;150.0;30.0;299.0;299.0;299.0;297.0;30;0;0;1;1;1;1;1;1.0;1.0;1.0;25.0;25.0;1.0;25.0;1;1;FAZER;VERMELHO 485;;;;;;;;1;295.0;295.0;271.0;579.0;1224.0;;;;1.0;1.0;1.0;444.0;;15.0;0.708696;0.708696;0.6945220799999999;0.708696;0.708696;0.0;
536770;;;3;Suspenso;3;Suspensa (Vendas) Suspensa (DETEC);9558;CHAPA - 1320 x 758 Vincada ;;108;1;;;;;K1G-B;758;0;1320;0;1;1;1;0.0;142.0;474.0;142.0;;;;;;0;0;-1;-1;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;;;;;;;;;;0;758.0;1320.0;0.0;758.0;1320.0;;;;;;;;;37.0;1.00056;1.00056;1.00056;1.00056;1.00056;;
489550;;49.0;4;Desativada;4;Desativada (DETEC);6191;Cx Alho Cristal BRANCA;;112;0;;;;;B11-BC;479;0;1425;0;1;1;1;7.0;145.0;189.0;145.0;40.0;297.0;397.0;297.0;394.0;40;0;0;1;1;0;1;1;2.0;2.0;5.0;15.0;300.0;20.0;300.0;1;1;3820;VIOLETA 261;;VERDE 13;;;;;;2;290.0;390.0;175.0;479.0;1425.0;;;;1400.0;1000.0;1185.0;;;26.0;0.682575;0.682575;0.63479475;0.682575;0.682575;1.659;
910380;;55.0;0;Amostra;0;Amostra (DETEC);6000;Aualys - 2400;;CN;0;400.0;4.0;;;B1-B;524;0;1427;0;1;1;1;2.2964956108207577;159.0;206.0;159.0;30.0;319.0;381.0;319.0;378.0;30;0;0;1;1;0;1;1;2.0;2.0;8.0;25.0;800.0;32.0;800.0;1;1;;;;;;;;;;0;316.0;378.0;200.0;524.0;1427.0;700.0;524.0;142.0;1224.0;1224.0;1350.0;292.0;2x2(maça).bmp;42.0;0.747748;0.747748;0.730576;0.747748;0.747748;2.022538;0.052086
815630;;0.0;2;Ativa;4;Desativada (Clichê) Suspensa (Vendas) Ativa (DETEC);1639;Display Like Snack;;CN;1;369.0;4.5;40.0;;A1-B;366;0;1149;0;1;1;1;3.0175919188460383;119.0;128.0;119.0;30.0;238.0;323.0;238.0;320.0;30;0;0;1;1;0;1;1;2.0;3.0;8.0;25.0;1200.0;48.0;1200.0;1;1;;;;;;;;PRETO;675.0;1;235.0;320.0;122.0;366.0;1149.0;561.0;366.0;150.0;1200.0;1098.0;1350.0;150.0;32.bmp;24.0;0.420534;0.420534;0.407844;0.420534;0.420534;1.77876;0.030799
816020;;12.0;2;Ativa;2;Ativa (DETEC);1188;NR.03 - A3-C;3;CN;1;458.0;6.5;;;A3-C;442;0;1404;0;1;1;1;2.210233205708319;127.0;188.0;127.0;30.0;254.0;434.0;254.0;432.0;30;0;0;1;1;0;1;1;2.0;2.0;6.0;25.0;600.0;24.0;600.0;1;1;;AMARELO 04;16.0;VERDE 357;451.0;VERMELHO 485;265.0;;;3;250.0;430.0;180.0;442.0;1404.0;688.0;442.0;200.0;1200.0;1200.0;1350.0;278.0;2x2(maça).bmp;42.0;0.620568;0.620568;0.606852;0.620568;0.620568;1.944;0.060819
460320;;29.0;0;Amostra;3;Suspensa (Vendas) Amostra (DETEC);1870;MK-160 - NOVA;;CN;0;;;;;K1G-B;1000;0;909;0;1;1;1;2.0;92.0;816.0;92.0;30.0;183.0;258.0;183.0;255.0;30;0;0;1;1;0;1;1;1.0;1.0;1.0;25.0;25.0;1.0;25.0;1;0;;;;;;;;;;0;180.0;255.0;810.0;1000.0;909.0;;;;1.0;1.0;1.0;;;21.0;0.909;0.909;0.8908200000000001;0.909;0.909;0.0;
889980;;59.0;0;Amostra;3;Suspensa (Vendas) Amostra (DETEC);10769;3;3;CN;0;446.0;6.0;30.0;;A3-B;468;0;1079;0;1;1;1;2.694802880159692;126.0;216.0;126.0;30.0;253.0;273.0;253.0;270.0;30;0;0;1;1;0;1;1;3.0;2.0;8.0;25.0;1200.0;48.0;1200.0;1;1;;;;;;;;;;0;250.0;270.0;210.0;468.0;1079.0;526.0;468.0;150.0;1404.0;1140.0;1350.0;219.0;32.BMP;35.0;0.504972;0.504972;0.49136399999999997;0.504972;0.504972;2.160756;0.036925
329341;;;4;Desativada;4;Desativada (DETEC);1599;18 Kg.Maca Agranel;;;0;;;;;A11S-BC;409;0;1635;0;1;1;1;0.0;161.0;248.0;0.0;485.0;317.0;487.0;316.0;30.0;0;0;1;1;1;0;1;1;;;;15.0;;;;0;0;;;;;;;;;;0;310.0;480.0;242.0;;;;;;;;;;;;0.668715;0.668715;0.668715;0.668715;0.668715;;
447290;;2.0;4;Desativada;4;Desativada (DETEC);1820;971392 - CB-79.1 - V-50;971392;CN;1;510.0;6.0;40.0;;A9S-C;383;0;994;0;1;1;1;2.0;110.0;163.0;110.0;30.0;219.0;264.0;219.0;262.0;30;50;0;1;1;0;1;1;2.0;3.0;5.0;25.0;750.0;30.0;750.0;1;1;;AZUL 2;;;;;;;;1;215.0;260.0;155.0;383.0;994.0;;;;1149.0;970.0;1112.0;190.0;;21.0;0.380702;0.380702;0.37308796;0.380702;0.380702;1.239357;
899470;;9.0;1;Desenvolvimento;3;Suspensa (Vendas) Desenvolvimento (DETEC);13217;541154 - CX MINAS FRESCAL 360g - 8 UNID;;CN;1;;6.5;15.0;;A10-B;342;0;979;0;1;1;1;2.9102378008350804;118.0;106.0;118.0;30.0;238.0;238.0;238.0;235.0;30;50;0;1;1;1;1;1;4.0;2.0;8.0;25.0;1600.0;64.0;1600.0;1;1;;< A DEFINIR >;;;;;;;;1;235.0;235.0;100.0;342.0;979.0;476.0;342.0;150.0;1368.0;1000.0;1350.0;;24.bmp;109.0;0.334818;0.334818;0.32507400000000003;0.334818;0.334818;1.8468;0.024419
779601;;8.0;2;Ativa;3;Suspensa (Vendas) Ativa (DETEC);9642;564171-V00/GP-Rv.1/SUÍNOS/PTE;564171;17;1;446.0;6.0;18.0;;A3-B;983;15;1645;10;1;3;3;11.2;;;;;;;;;0;0;-1;-1;1;1;1;1;1.0;2.0;27.0;25.0;1350.0;54.0;1350.0;1;1;7442-1;;;;;;;PRETO;50.0;1;342.0;525.0;100.0;968.0;545.0;545.0;968.0;75.0;1200.0;1000.0;2175.0;209.0;12.bmp;24.0;0.5390116666666667;0.52756;0.46847328000000005;1.617035;1.58268;2.61;0.039567
382730;;2.0;4;Desativada;4;Desativada (DETEC);1825;EXPORT. TP;;16;0;;;;;K2-B;1094;10;1210;10;1;2;2;9.4;;;;;;;;;0;0;-1;-1;1;0;1;0;;;;25.0;;;;0;0;FAZER;;;;;;;;;0;309.0;468.0;145.0;1084.0;600.0;;;;;;;;;;0.66187;0.6504;0.5892624;1.32374;1.3008;;
749490;;20.0;2;Ativa;4;Desativada (Clichê) Suspensa (Vendas) Ativa (DETEC);11572;016159 - LQ. PLQ 1010 UNIF - REV.2;;CN;1;;4.1;;;A1-B;892;0;1925;0;1;1;1;1.1730242851319084;188.0;516.0;188.0;30.0;376.0;573.0;376.0;570.0;30;0;0;1;1;0;1;1;1.0;1.0;8.0;25.0;200.0;8.0;200.0;1;1;;;;;;;;PRETO;2948.0;1;373.0;570.0;510.0;892.0;1925.0;949.0;892.0;142.0;1240.0;900.0;1290.0;;11.BMP;16.0;1.7171;1.7171;1.6969580000000002;1.7171;1.7171;1.43964;0.120204
444120;;2.0;4;Desativada;4;Desativada (DETEC);1229;815055 - CP-42 - V-54;815055;CN;1;980.0;11.0;45.0;472.5;A12S-BC;504;0;1385;0;1;1;1;2.0;145.0;214.0;145.0;40.0;287.0;387.0;287.0;384.0;40;50;0;1;1;0;1;1;2.0;2.0;6.0;15.0;360.0;24.0;360.0;1;1;;PRETO;;;;;;;;1;280.0;380.0;200.0;504.0;1375.0;;;;1400.0;1008.0;1302.0;670.0;;26.0;0.69804;0.69804;0.6840792;0.69804;0.69804;1.837382;
732670;;7.0;0;Amostra;3;Suspensa (Vendas) Amostra (DETEC);1425;15 Kg - Tampo Automático;;18;1;504.0;6.0;40.0;;A10-B;599;15;903;10;1;1;1;5.2;;;;;;;;;0;0;-1;-1;1;0;1;1;2.0;1.0;16.0;25.0;800.0;32.0;800.0;1;1;Fazer;;;;;;;;;0;267.0;570.0;156.0;584.0;893.0;893.0;584.0;75.0;1240.0;900.0;1350.0;249.0;21.bmp;16.0;0.540897;0.521512;0.49439337599999994;0.540897;0.521512;1.5066;0.039113
528920;;;3;Suspenso;3;Suspensa (Vendas) Suspensa (DETEC);9603;CHAPA - 1720 x 1153 - VINCADA;;108;0;;;;;A2-BC;1153;0;1720;0;1;1;1;0.0;289.0;575.0;289.0;;;;;;0;0;-1;-1;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0;;;;;;;;;;0;1153.0;1720.0;0.0;1153.0;1720.0;;;;;;;;;37.0;1.98316;1.98316;1.98316;1.98316;1.98316;;
826610;;46.0;0;Amostra;3;Suspensa (Vendas) Amostra (DETEC);11901;Paçoquinha B1-B;;35;0;419.0;5.0;40.0;;B1-B;560;15;706;10;1;1;1;10.29;;;;;;;;;0;0;-1;-1;1;0;1;1;;;8.0;50.0;;;;1;1;82660-0;;;;;;;;;0;160.0;355.0;85.0;545.0;696.0;696.0;545.0;150.0;;;1350.0;143.0;;24.0;0.39536;0.37932;0.340287972;0.39536;0.37932;;0.056898
284181;;7.0;4;Desativada;4;Desativada (Faca) Desativada (DETEC);8585;616967 - Nº 02 - 15 Kgs Fdo Mato Leitão;;57;0;;;;;A12S-BC;1204;20;923;15;2;1;2;0.0;;;;;;;;;0;0;-1;-1;1;1;1;1;1.0;2.0;12.0;15.0;360.0;24.0;360.0;1;1;2137-1;;;;;;;;;0;355.0;530.0;100.0;592.0;908.0;;;;1240.0;908.0;1302.0;;;16.0;0.555646;0.537536;0.537536;1.111292;1.075072;1.465948;
331120;;;4;Desativada;4;Desativada (Faca) Desativada (DETEC);6656;Leite Desnatado 6 Unid.Balance;;;0;;;;;K2-B;967;10;790;10;1;3;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;1;1;1;0;1;0;;;;25.0;;;;0;0;2911;VERMELHO 485;;AZUL 295C;;AZUL 18;;;;3;150.0;220.0;204.0;;;;;;;;;;;;0.25464333333333333;0.24882;0.24882;0.76393;0.74646;;
691280;;23.0;4;Desativada;4;Desativada (Faca) Desativada (Clichê) Desativada (DETEC);12068;Linguiças 10 Kg;;57;1;634.0;8.0;12.0;;A15-B;708;15;1792;10;1;2;2;7.32;;;;;;;;;0;0;-1;-1;1;1;1;1;2.0;1.0;16.0;25.0;800.0;32.0;800.0;1;1;4339;AMARELO 18;;;;VERMELHO 10;;PRETO;;3;230.0;380.0;180.0;693.0;891.0;;;;1000.0;1400.0;1310.0;362.0;;26.0;0.634368;0.617463;0.5722647084;1.268736;1.234926;1.834;
706740;;55.0;3;Suspenso;4;Desativada (Clichê) Suspensa (Vendas) Suspensa (DETEC);9714;620564 -Arquivo Morto material construtivo-V-73;620564;CN;1;568.0;6.5;40.0;300.0;A12S-B;630;0;1701;0;1;1;1;1.8694885361552027;187.0;256.0;187.0;30.0;374.0;463.0;374.0;460.0;30;0;0;1;1;0;1;1;1.0;2.0;8.0;25.0;400.0;16.0;400.0;1;1;;;;;;;;PRETO;237.0;1;371.0;460.0;250.0;630.0;1701.0;837.0;630.0;140.0;1260.0;837.0;1350.0;596.0;12.bmp;9.0;1.07163;1.07163;1.051596;1.07163;1.07163;1.423737;0.073823
487432;;46.0;3;Suspenso;3;Suspensa (Vendas) Suspensa (DETEC);10540;DOCE DE BATATA (CV)-separador em Z;;45;0;;;;;A1S-D;300;0;988;0;4;2;8;0.0;;;;83.0;328.0;83.0;;;0;0;-1;-1;1;0;1;1;2.0;16.0;10.0;50.0;16000.0;320.0;16000.0;0;1;;;;;;;;;;0;167.0;330.0;77.0;75.0;494.0;493.0;75.0;100.0;1200.0;1000.0;1150.0;;;24.0;0.03705;0.03705;0.03705;0.2964;0.2964;1.38;0.003698
